date,1. open,2. high,3. low,4. close,5. volume,TickerName
2023-10-20,8.5200,8.8200,7.7100,8.5500,644715,GCT
2023-10-19,8.5000,8.8500,8.4400,8.6600,388651,GCT
2023-10-18,9.2000,9.2000,8.4200,8.6000,613210,GCT
2023-10-17,8.8600,9.7600,8.8600,9.2100,533771,GCT
2023-10-16,8.8000,9.3297,8.7400,9.0300,518090,GCT
2023-10-13,9.2800,9.3400,8.5900,8.6900,476329,GCT
2023-10-12,9.1100,9.3000,8.5800,9.1900,329084,GCT
2023-10-11,9.0900,9.6400,8.5515,8.7700,427515,GCT
2023-10-10,10.0200,11.2000,8.7694,9.0700,1266355,GCT
2023-10-09,8.5500,10.0500,8.4900,9.9600,514556,GCT
2023-10-06,8.2900,8.7600,8.1400,8.6700,453030,GCT
2023-10-05,8.7900,8.9900,8.2400,8.5000,568259,GCT
2023-10-04,8.9200,9.2300,8.7900,8.9400,262647,GCT
2023-10-03,9.0300,9.2900,8.2800,8.9600,713480,GCT
2023-10-02,8.9000,9.2757,8.3500,9.0400,803486,GCT
2023-09-29,7.3500,9.0495,7.3500,8.8100,2503003,GCT
2023-09-28,9.4700,9.4900,6.7100,7.6900,4802588,GCT
2023-09-27,9.6000,9.9600,9.4000,9.4700,650876,GCT
2023-09-26,9.7200,10.0400,9.3100,9.4900,531015,GCT
2023-09-25,9.1700,10.4500,9.1200,9.8900,682249,GCT
2023-09-22,10.0300,10.0600,9.1100,9.2500,725289,GCT
2023-09-21,10.5200,11.2900,9.7100,9.8100,829953,GCT
2023-09-20,10.3300,11.5500,9.8001,10.6200,1249754,GCT
2023-09-19,10.0200,10.6500,9.1900,10.5200,1296685,GCT
2023-09-18,11.3800,11.6000,9.7000,10.0000,1968144,GCT
2023-09-15,11.9300,12.4300,11.4000,11.4500,690673,GCT
2023-09-14,12.3300,13.3800,11.5000,11.9300,2000091,GCT
2023-09-13,13.1100,13.2300,10.7800,12.2100,3563149,GCT
2023-09-12,18.0000,18.6000,12.7613,13.2500,3370977,GCT
2023-09-11,17.0000,18.6000,16.5000,17.7300,2921524,GCT
2023-09-08,15.0000,16.9300,14.5500,16.4000,1722353,GCT
2023-09-07,14.4600,15.0000,13.3300,14.7700,861157,GCT
2023-09-06,14.8200,15.1000,14.0200,14.1500,1451029,GCT
2023-09-05,13.5000,15.0000,12.6000,14.4900,878194,GCT
2023-09-01,12.7500,13.8000,12.3800,13.5800,581644,GCT
2023-08-31,12.6500,12.9500,12.3534,12.5100,347645,GCT
2023-08-30,12.7800,12.9600,12.0450,12.6600,476078,GCT
2023-08-29,11.6600,12.4700,11.4500,12.2500,338892,GCT
2023-08-28,12.0500,12.0500,10.1500,11.6000,655305,GCT
2023-08-25,12.5000,12.5500,11.5100,12.0900,455026,GCT
2023-08-24,12.8200,12.9900,12.2100,12.3000,404367,GCT
2023-08-23,12.8800,13.2400,12.3600,12.6600,721573,GCT
2023-08-22,12.8300,13.5000,12.5100,12.9600,892223,GCT
2023-08-21,11.6400,12.9390,11.2500,12.5900,936378,GCT
2023-08-18,11.7900,12.0000,11.1800,11.5400,708388,GCT
2023-08-17,11.3900,12.0000,11.0600,11.8900,856351,GCT
2023-08-16,10.2500,12.4300,10.0000,11.5900,2483640,GCT
2023-08-15,10.7000,10.8599,9.3100,10.1400,782106,GCT
2023-08-14,10.7500,10.7583,9.7000,10.3200,424513,GCT
2023-08-11,10.8200,10.9900,10.1500,10.7200,280468,GCT
2023-08-10,10.7500,11.0900,10.4000,10.6300,320560,GCT
2023-08-09,9.9000,10.6000,9.7000,10.3900,819948,GCT
2023-08-08,9.0700,9.8500,9.0400,9.7300,368574,GCT
2023-08-07,8.9800,9.3500,8.8500,9.2400,294878,GCT
2023-08-04,9.4100,9.4700,8.9200,9.0800,272931,GCT
2023-08-03,8.9900,9.4000,8.9575,9.4000,357986,GCT
2023-08-02,8.6900,9.2000,8.6000,8.8400,219914,GCT
2023-08-01,8.7000,9.2000,8.4090,9.0000,430680,GCT
2023-07-31,8.5000,8.9400,8.5000,8.7400,276889,GCT
2023-07-28,8.3100,8.5000,8.1300,8.4700,157109,GCT
2023-07-27,8.6000,8.7500,8.1500,8.2900,244632,GCT
2023-07-26,8.1700,8.5500,8.1000,8.5400,235145,GCT
2023-07-25,8.5000,8.7000,8.1300,8.1800,302605,GCT
2023-07-24,8.6500,8.6500,7.9899,8.5100,569954,GCT
2023-07-21,8.4400,9.0900,8.1000,8.7000,276897,GCT
2023-07-20,8.8000,8.9161,8.2600,8.3200,165178,GCT
2023-07-19,8.2700,8.8500,8.1400,8.8500,355617,GCT
2023-07-18,8.3000,8.5000,8.1281,8.2500,213704,GCT
2023-07-17,7.8000,8.2500,7.5000,8.2000,496828,GCT
2023-07-14,8.1300,8.5500,7.6900,7.7500,666826,GCT
2023-07-13,7.6800,8.2500,7.4600,8.0600,775764,GCT
2023-07-12,7.0800,7.6500,7.0800,7.5700,289721,GCT
2023-07-11,7.3400,7.3700,7.0101,7.0800,252252,GCT
2023-07-10,7.2000,7.4700,7.0300,7.3600,248562,GCT
